county,year,arrests_cleared,convictions_cleared,convictions_prohibited,disposition_gap
ALAMEDA,2022,241030,87162,0,17.2
ALPINE,2022,364,671,0,31.9
AMADOR,2022,4555,2202,0,22.3
BUTTE,2022,97597,16770,0,41.0
CALAVERAS,2022,7322,2733,0,23.8
COLUSA,2022,4789,1925,0,27.5
CONTRA COSTA,2022,209281,31836,0,42.5
DEL NORTE,2022,7223,3070,0,16.8
EL DORADO,2022,23417,13416,0,25.8
FRESNO,2022,204563,43604,0,31.5
GLENN,2022,5593,3130,0,29.9
HUMBOLDT,2022,45964,15513,0,28.8
IMPERIAL,2022,59438,20798,0,42.4
INYO,2022,5510,2745,0,35.6
KERN,2022,181334,81012,1,19.6
KINGS,2022,55698,8195,0,41.1
LAKE,2022,19602,5022,0,26.1
LASSEN,2022,8377,2182,0,35.4
LOS ANGELES,2022,1696845,964997,2,23.5
MADERA,2022,39270,28285,0,32.4
MARIN,2022,41261,11503,0,29.7
MARIPOSA,2022,2880,1966,0,23.3
MENDOCINO,2022,44118,9196,0,41.5
MERCED,2022,73194,11282,0,45.6
MODOC,2022,3629,737,0,35.8
MONO,2022,3245,2718,0,32.6
MONTEREY,2022,139217,37456,0,35.6
NAPA,2022,26347,13530,0,29.7
NEVADA,2022,20547,7882,0,34.9
ORANGE,2022,730853,179575,0,33.0
PLACER,2022,50788,20545,0,29.4
PLUMAS,2022,4317,2690,0,30.7
RIVERSIDE,2022,439871,129007,0,41.1
SACRAMENTO,2022,321282,78124,0,32.5
SAN BENITO,2022,11954,4881,0,31.4
SAN BERNARDINO,2022,556754,123929,4,36.9
SAN DIEGO,2022,932627,165480,0,45.6
SAN FRANCISCO,2022,144783,21952,0,24.4
SAN JOAQUIN,2022,176626,39766,0,25.9
SAN LUIS OBISPO,2022,84774,25940,0,29.7
SAN MATEO,2022,108036,36408,0,26.2
SANTA BARBARA,2022,143274,48469,0,31.6
SANTA CLARA,2022,409216,132828,0,21.7
SANTA CRUZ,2022,127792,23561,0,46.2
SHASTA,2022,60677,12649,0,42.0
SIERRA,2022,559,369,0,18.3
SISKIYOU,2022,11456,3616,0,37.5
SOLANO,2022,89679,16938,0,19.6
SONOMA,2022,132717,37742,0,25.1
STANISLAUS,2022,108842,31038,0,26.5
SUTTER,2022,26288,6759,0,50.1
TEHAMA,2022,16041,3590,0,35.9
TRINITY,2022,3316,1656,0,24.2
TULARE,2022,204298,37319,0,51.7
TUOLUMNE,2022,10370,4629,0,25.9
VENTURA,2022,213434,43597,0,37.8
YOLO,2022,63646,12806,0,39.3
YUBA,2022,23839,6738,0,41.6
ALAMEDA,2023,47338,2623,0,18.2
ALPINE,2023,57,21,0,34.2
AMADOR,2023,659,58,0,23.4
BUTTE,2023,5790,716,0,41.9
CALAVERAS,2023,663,115,0,24.7
COLUSA,2023,505,111,0,27.5
CONTRA COSTA,2023,8580,810,2,43.2
DEL NORTE,2023,309,77,0,17.3
EL DORADO,2023,2801,722,0,26.1
FRESNO,2023,10495,2350,0,32.0
GLENN,2023,837,146,0,30.1
HUMBOLDT,2023,2711,593,0,28.3
IMPERIAL,2023,1601,482,0,42.9
INYO,2023,319,102,0,37.0
KERN,2023,12021,4085,0,19.8
KINGS,2023,2467,486,0,42.0
LAKE,2023,1297,195,0,25.7
LASSEN,2023,474,66,0,36.3
LOS ANGELES,2023,147082,89755,1,22.3
MADERA,2023,2703,1238,0,32.4
MARIN,2023,5462,458,0,30.4
MARIPOSA,2023,552,120,0,24.8
MENDOCINO,2023,2850,314,1,41.5
MERCED,2023,4027,578,0,45.8
MODOC,2023,259,39,0,36.6
MONO,2023,449,106,0,32.8
MONTEREY,2023,6441,1998,1,35.5
NAPA,2023,1195,536,0,30.3
NEVADA,2023,1337,536,0,39.6
ORANGE,2023,45632,2626,1,33.3
PLACER,2023,5174,1073,1,29.4
PLUMAS,2023,394,85,0,33.9
RIVERSIDE,2023,21184,3923,0,40.7
SACRAMENTO,2023,17177,4376,4,33.7
SAN BENITO,2023,1076,197,0,32.7
SAN BERNARDINO,2023,27877,7096,2,36.8
SAN DIEGO,2023,37123,6233,0,45.7
SAN FRANCISCO,2023,13610,250,0,26.1
SAN JOAQUIN,2023,10897,815,0,26.4
SAN LUIS OBISPO,2023,6460,538,0,30.3
SAN MATEO,2023,9482,1232,0,26.9
SANTA BARBARA,2023,7790,1352,0,31.9
SANTA CLARA,2023,26351,2295,3,22.5
SANTA CRUZ,2023,5778,899,1,45.9
SHASTA,2023,5045,4282,0,42.6
SIERRA,2023,72,31,0,19.1
SISKIYOU,2023,951,122,0,39.0
SOLANO,2023,10583,285,0,20.5
SONOMA,2023,16348,1211,0,26.0
STANISLAUS,2023,10276,792,0,27.0
SUTTER,2023,4386,1570,1,50.5
TEHAMA,2023,1346,252,0,36.3
TRINITY,2023,502,99,0,25.0
TULARE,2023,11660,1738,1,51.7
TUOLUMNE,2023,824,225,0,26.3
VENTURA,2023,15771,837,1,38.7
YOLO,2023,3269,460,1,39.5
YUBA,2023,1150,290,0,41.6
ALAMEDA,2024,68507,17509,0,17.2
ALPINE,2024,81,124,0,32.0
AMADOR,2024,3022,685,0,20.8
BUTTE,2024,34889,7457,1,41.0
CALAVERAS,2024,2894,486,0,24.7
COLUSA,2024,1956,514,0,26.5
CONTRA COSTA,2024,147629,27485,0,42.3
DEL NORTE,2024,2835,424,0,17.1
EL DORADO,2024,13257,3088,0,24.4
FRESNO,2024,88996,10679,0,31.7
GLENN,2024,2966,547,0,29.3
HUMBOLDT,2024,17572,2675,0,26.6
IMPERIAL,2024,23869,3114,1,41.8
INYO,2024,2747,811,0,36.8
KERN,2024,80422,20074,0,19.6
KINGS,2024,25256,2156,0,40.6
LAKE,2024,7703,2668,0,24.9
LASSEN,2024,4138,1250,0,35.8
LOS ANGELES,2024,803221,425512,4,21.7
MADERA,2024,20581,5873,1,31.8
MARIN,2024,17308,3930,0,30.6
MARIPOSA,2024,1222,449,0,25.9
MENDOCINO,2024,18525,3540,0,40.8
MERCED,2024,36314,4421,0,44.4
MODOC,2024,1515,517,0,36.7
MONO,2024,1753,515,0,32.1
MONTEREY,2024,72366,6753,3,34.7
NAPA,2024,11087,3289,0,28.6
NEVADA,2024,7514,2478,0,34.3
ORANGE,2024,294834,42895,3,32.8
PLACER,2024,27713,5942,1,29.1
PLUMAS,2024,1903,469,0,30.9
RIVERSIDE,2024,314495,20540,1,40.4
SACRAMENTO,2024,191656,21559,5,32.1
SAN BENITO,2024,4184,1297,1,31.3
SAN BERNARDINO,2024,293518,20792,4,36.2
SAN DIEGO,2024,428284,44660,0,45.0
SAN FRANCISCO,2024,53057,8536,0,24.8
SAN JOAQUIN,2024,58691,11936,0,26.0
SAN LUIS OBISPO,2024,25431,15659,0,29.4
SAN MATEO,2024,47414,24561,0,26.6
SANTA BARBARA,2024,50997,18527,1,31.8
SANTA CLARA,2024,110270,37706,2,21.5
SANTA CRUZ,2024,50463,7302,3,45.4
SHASTA,2024,21526,4260,1,41.8
SIERRA,2024,216,158,0,19.1
SISKIYOU,2024,6694,845,0,39.1
SOLANO,2024,39641,4059,0,20.1
SONOMA,2024,37024,11106,0,25.7
STANISLAUS,2024,51560,16401,0,26.2
SUTTER,2024,13253,1833,1,50.6
TEHAMA,2024,6447,1526,0,35.9
TRINITY,2024,1462,356,0,24.8
TULARE,2024,123428,13227,2,51.5
TUOLUMNE,2024,5251,1330,0,26.0
VENTURA,2024,105264,26499,1,35.9
YOLO,2024,32282,4575,1,38.7
YUBA,2024,10748,1743,0,40.6
